FID,FireName,FireNo,Label,StartDate,EndDate,AreaHa,PerimeterM,Verdate,Type,Season,ID,Year,Year_Con,Shape__Area,Shape__Length
7970,Ungarie Forest,24114,2008-09 Wildfire,2008/09/16 00:00:00+00,,3.23112032,741.13035337,26/03/2020,Wildfire,2008-09,8025,2008,2008/01/01 00:00:00+00,32251.5546875,740.445978357546
7971,"Stubble Fire ""South Mahonga"" via Corowa",24984,2008-09 Wildfire,2009/01/05 00:00:00+00,,44.45730347,2942.65550356,26/03/2020,Wildfire,2008-09,8026,2008,2008/01/01 00:00:00+00,444532.96875,2942.52243249216
7972,Mountain Home,24996,2008-09 Wildfire,2009/01/06 00:00:00+00,,18.75714774,1909.47385265,26/03/2020,Wildfire,2008-09,8027,2008,2008/01/01 00:00:00+00,187218.734375,1907.67761158896
7973,Mount Mologone,24867,2008-09 Wildfire,2008/12/23 00:00:00+00,,2.60470554,737.06117229,26/03/2020,Wildfire,2008-09,8028,2008,2008/01/01 00:00:00+00,25999.203125,736.383844752802
7974,Mount Mologone,24867,2008-09 Wildfire,2008/12/23 00:00:00+00,,1204.60141214,25872.7270739,26/03/2020,Wildfire,2008-09,8029,2008,2008/01/01 00:00:00+00,12023866.8554688,25848.937521537
7975,Mt Pleasant,25067,2008-09 Wildfire,2009/01/12 00:00:00+00,,1.92403192,552.40197996,26/03/2020,Wildfire,2008-09,8030,2008,2008/01/01 00:00:00+00,19204.0390625,551.880931293605
7976,"Lowry, Toogong",25205,2008-09 Wildfire,2009/01/20 00:00:00+00,,39.76958888,2783.45905431,26/03/2020,Wildfire,2008-09,8031,2008,2008/01/01 00:00:00+00,396943.359375,2780.82431487707
7977,Mt Alverna,25332,2008-09 Wildfire,2009/01/27 00:00:00+00,,0.81060851,341.8143684,26/03/2020,Wildfire,2008-09,8032,2008,2008/01/01 00:00:00+00,8090.8203125,341.492592676745
7978,Pipeclay,25355,2008-09 Wildfire,2009/01/29 00:00:00+00,,9.99193805,1175.80401664,26/03/2020,Wildfire,2008-09,8033,2008,2008/01/01 00:00:00+00,99748.11328125,1174.79587811336
7979,Shatz\adams well,0,2001-02 Wildfire,2001/12/14 00:00:00+00,,381.97222699,11053.541619,26/03/2020,Wildfire,2001-02,8034,2001,2001/01/01 00:00:00+00,3820842.0703125,11055.1682559487
7980,Warrumba,25438,2008-09 Wildfire,2009/02/03 00:00:00+00,,0.08566713,107.78497972,26/03/2020,Wildfire,2008-09,8035,2008,2008/01/01 00:00:00+00,855.08984375,107.685807295238
7981,Hazlewood,25420,2008-09 Wildfire,2009/02/02 00:00:00+00,,1.55674415,607.90435073,26/03/2020,Wildfire,2008-09,8036,2008,2008/01/01 00:00:00+00,15542.28515625,607.412959720902
